O_OFF_FORM,O_OFF_PLAY,D_DEF_FORM,O_DEF_FORM,O_DEF_FRONT,D_OFF_FORM,D_OFF_PLAY,D_DEF_PLAY,O_PERSONNEL,D_PERSONNEL,O_DEF_COVERAGE,O_DEF_BLITZ
RIP,50 FERRARI L,3-4,3-4,OKIE,RIP,31 SPACING,WHITE,10,10,0,S
LIZ,BIG PITT,4-3,4-3,EVEN,LIZ,BIG COUNTER,BLUE,11,11,1,W
LAZOR,SMALL SEATTLE,4-2,4-2,ODD,EVEN,SMALL TOSS,,12,12,2,M
GOLD,BIG JET R,2-5,2-5,,,CIGAR,,20,20,3,MAM
SILVER,31 NISSAN,,,,,,,21,21,4,SAW
RAZOR,,,,,,,,22,22,3-MAN,WAM
,,,,,,,,23,23,2-MAN,SAM
,,,,,,,,,30,4-MAN,SMMW
,,,,,,,,,31,,SMW
,,,,,,,,,32,,
,,,,,,,,,0,,
,,,,,,,,,1,,
,,,,,,,,,2,,
